idptar;nomptar;CodeINSEE;X;Y;coord
2035;Château de Vincennes;94080;607641;2427335;48.8443251036,2.44055234288
1751;Porte de Vincennes;75120;605457;2427632;48.8470164776,2.410816879
1698;Reuilly-Diderot;75112;603623;2427668;48.8473528362,2.38584253671
1892;Hôtel de Ville;75104;601143;2428780;48.8573558864,2.35207356353
2111;Bastille;75104;602402;2428293;48.8529756339,2.36921882111
2522;Saint-Paul (Le Marais);75104;601823;2428533;48.8551344775,2.36133433573
2155;Châtelet;75101;600839;2428915;48.8585696317,2.3479332425
2170;Concorde;75108;598876;2429706;48.8656780557,2.32119376847
2544;Champs-Elysées-Clémenceau;75108;598357;2429936;48.8677439853,2.31412277704
2200;Franklin-Roosevelt;75108;598073;2430077;48.8690103872,2.31025317756
2098;Argentine;75117;596546;2430819;48.8756724452,2.28944416115
2433;Porte Maillot;75117;596034;2431079;48.8780061355,2.28246563667
2283;La Défense (Grande Arche);92062;592772;2432620;48.8918267141,2.23799203988
1833;Nation;75112;604444;2427899;48.8494238601,2.39702503497
2086;Barbès-Rochechouart;75109;600956;2431709;48.8836800685,2.34953280032
1791;Pigalle;75118;600055;2431569;48.8824224877,2.33725467877
2071;Blanche;75118;599705;2431719;48.8837704781,2.33248514494
1795;Place de Clichy;75109;599330;2431684;48.8834556108,2.32737499008
1707;Rome;75117;598818;2431530;48.8820707932,2.32039833598
1822;Monceau;75108;598012;2431364;48.88057685,2.30941594283
1694;Victor Hugo;75116;596236;2430173;48.8698648717,2.28522620392
2338;Nation;75112;604444;2427899;48.8494238601,2.39702503497
2160;Alexandre-Dumas;75111;604262;2428678;48.8564263076,2.39455425432
2296;Jaurès;75119;602454;2431608;48.882768506,2.36994579566
1785;Père-Lachaise;75111;603699;2429403;48.8629456209,2.38689240121
1889;Havre-Caumartin;75109;599411;2430572;48.8734618499,2.32848048114
1881;Malesherbes;75117;598129;2431582;48.8825364321,2.31100923967
1862;L1se Michel;92044;596445;2432332;48.8892695815,2.28805512147
2044;Anatole-France;92044;596259;2432638;48.8920185856,2.28551744146
2389;Parmentier;75111;602808;2429660;48.8652598159,2.37475707838
2196;Bourse;75102;600306;2430049;48.8687617518,2.34067412548
2438;Quatre Septembre;75102;599987;2430149;48.8696605314,2.33632827831
2510;Villiers;75117;598506;2431456;48.8814050597,2.31614704757
2396;Pereire;75117;597111;2431860;48.8850310205,2.29713510817
2416;Porte de Champerret;75117;596724;2431939;48.8857391189,2.29186061734
2341;Pont de Levallois-Bécon;92044;595911;2433227;48.8973098644,2.28076863947
1668;Simplon;75118;600744;2432944;48.894779515,2.34664584169
2034;Château d'Eau;75110;601435;2430460;48.8724541102,2.3560561648
1934;Etienne Marcel;75101;600916;2429487;48.8637103257,2.34898319279
1828;Mouton-Duvernet;75114;599552;2425980;48.8321915585,2.3304069893
1735;Porte d'Orléans (Général Leclerc);75114;599160;2424937;48.8228170194,2.32507262181
4028973;Mairie de Montrouge;92049;598761;2424453;48.8184662963,2.31964321528
2535;Marcadet-Poissonniers;75118;600944;2432584;48.8915438899,2.34937111205
2208;Gare de l'Est (Verdun);75110;601577;2430932;48.8766957953,2.35799250722
2472;Saint-Michel;75105;600550;2428362;48.8535998671,2.34399623776
2312;Odéon;75106;600167;2428206;48.8521980045,2.33877999971
2466;Saint-Germain des Prés;75106;599746;2428345;48.853447197,2.33304632271
2411;Saint-Sulpice;75106;599593;2428089;48.8511463143,2.33096285303
2442;Saint-Placide;75106;599306;2427629;48.8470117994,2.32705510802
2502;Vavin;75106;599439;2427078;48.8420598168,2.3288670471
1901;Jaurès;75119;602501;2431620;48.8828761755,2.37058633283
1898;Jacques-Bonsergent;75110;601767;2430265;48.8707007825,2.36057863225
2063;Bastille;75104;602398;2428339;48.8533890715,2.36916459888
1793;Place d'Italie;75113;601392;2425879;48.8312826147,2.35545586703
2424;Porte de Pantin;75119;604103;2432256;48.8885839402,2.39242287239
2247;Laumière;75119;603125;2431849;48.8849315698,2.37909124357
2485;Stalingrad;75119;602264;2431762;48.8841532224,2.36735747413
2377;République;75111;602005;2429922;48.8676174458,2.3638195181
2164;Bréguet-Sabin;75111;602516;2428715;48.8567679088,2.37077385505
2112;Bastille;75104;602398;2428339;48.8533890715,2.36916459888
2437;Quai de la Rapée;75112;602233;2427513;48.8459659916,2.3669131764
2521;Saint-Marcel;75113;601846;2426787;48.8394422381,2.36164021079
1789;Picpus;75112;604794;2427443;48.8453230738,2.40178631043
2082;Dugommier;75112;603881;2426725;48.8388761109,2.38934738424
1644;Quai de la Gare;75113;602743;2426584;48.837614635,2.37385211235
